"PROD_EST","COBERTURA","ANIO","ID_MES","MARCA","MODELO","TIPO","SEGMENTO","UNI_VEH"
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2022,"01","Audi","Q5","Camiones ligeros","SUV's",17464
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2022,"01","BMW Group","Serie 2 Coupé","Automóviles","De Lujo",2045
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2022,"01","BMW Group","Serie 3","Automóviles","De Lujo",5481
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2022,"01","Chrysler","Crew Cab-","Camiones ligeros","Pick Ups",11400
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2022,"01","Chrysler","Jeep Compass-","Camiones ligeros","SUV's",10
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2022,"01","Chrysler","RAM 1500-","Camiones ligeros","Pick Ups",2720
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2022,"01","Chrysler","RAM 4000","Camiones ligeros","Pick Ups",7479
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2022,"01","Fiat","Fiat 500-","Automóviles","Subcompactos",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2022,"01","Ford Motor","Bronco Sport","Camiones ligeros","SUV's",14636
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2022,"01","Ford Motor","Maverick","Camiones ligeros","Pick Ups",7842
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2022,"01","Ford Motor","Mustang Mach-E","Camiones ligeros","SUV's",6054
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2022,"01","General Motors","Avalanche UUV","Camiones ligeros","Pick Ups",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2022,"01","General Motors","Aveo-","Automóviles","Subcompactos",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2022,"01","General Motors","Blazer","Camiones ligeros","SUV's",9276
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2022,"01","General Motors","Captiva Sport","Camiones ligeros","SUV's",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2022,"01","General Motors","Chevy 3 Ptas","Automóviles","Subcompactos",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2022,"01","General Motors","Chevy 4 PTAS","Automóviles","Subcompactos",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2022,"01","General Motors","Cheyenne  Doble Cabina","Camiones ligeros","Pick Ups",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2022,"01","General Motors","Cheyenne Cabina Regular","Camiones ligeros","Pick Ups",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2022,"01","General Motors","Cruze 4 PTAS-","Automóviles","Compactos",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2022,"01","General Motors","Cruze 5 Ptas","Automóviles","Compactos",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2022,"01","General Motors","Equinox SUV-","Camiones ligeros","SUV's",11675
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2022,"01","General Motors","Escalade ESV SUV AWD","Camiones ligeros","Minivans",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2022,"01","General Motors","Escalade EXT UUV 4X4","Camiones ligeros","Minivans",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2022,"01","General Motors","GMC Sierra Doble Cabina","Camiones ligeros","Pick Ups",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2022,"01","General Motors","Kodiak Chassis Cab Class 7 PBV33,000","Camiones ligeros","Pick Ups",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2022,"01","General Motors","Onix","Automóviles","Compactos",1493
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2022,"01","General Motors","Sierra Cabina Regular","Camiones ligeros","Pick Ups",876
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2022,"01","General Motors","Sierra Doble Cabina","Camiones ligeros","Pick Ups",11780
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2022,"01","General Motors","Silverado Cabina Regular","Camiones ligeros","Pick Ups",2022
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2022,"01","General Motors","Silverado Cabina Regular","Camiones ligeros","Pick Ups",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2022,"01","General Motors","Silverado Doble Cabina","Camiones ligeros","Pick Ups",17579
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2022,"01","General Motors","Silverado 1500 Cabina Regular-","Camiones ligeros","Pick Ups",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2022,"01","General Motors","Silverado 2500 Cabina Regular-","Camiones ligeros","Pick Ups",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2022,"01","General Motors","Silverado 2500 Doble Cabina-","Camiones ligeros","Pick Ups",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2022,"01","General Motors","Silverado 3500 Chassis Cab","Camiones ligeros","Pick Ups",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2022,"01","General Motors","Silverado 3500 HD Chassis Cab Heavy Duty","Camiones ligeros","Pick Ups",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2022,"01","General Motors","Sonic-","Automóviles","Subcompactos",0
